ID,Minimum PET
100014112,inf
100014127,-23.75
100014157,-0.25
100014201,inf
100014258,-17.0
100014263,-9.75
100014295,-1.25
100014296,-1.0
100014320,inf
100014380,-18.5
100014414,-19.75
100014417,-20.25
100014486,-12.75
100014579,7.0
100014602,-14.75
100014615,-5.75
100014644,-10.75
100014911,9.0
100014938,-22.0
100015176,-8.25
100015229,-3.0
100015296,-14.5
100017023,-9.25
100017294,-9.75
100018233,inf
100019446,inf
150030026,-22.75
150040004,-16.75
150040005,inf
150060033,2.0
150060034,-17.75
150090052,-5.25
150120040,-36.75
150140003,-13.75
150140035,-12.75
150140036,-23.75
150140037,-5.5
150140038,-23.5
150140039,inf
150140040,inf
150140041,-1.25
150140042,-1.25
150150045,inf
150150047,-24.0
150170146,-9.25
200000101,-7.5
200000102,inf
200000294,-17.25
200000327,inf
200000428,inf
200000547,inf
200000898,4.75
200000906,-11.75
200000946,7.5
200000966,-21.75
200001102,-7.5
200001119,4.5
200001516,-8.25
200001517,inf
200001646,-20.25
200002129,-23.5
200002172,-8.0
200002175,-7.25
200002967,-9.0
200003007,-10.25
200003061,-3.5
200003142,-11.25
200003194,inf
200003283,-5.0
200003317,-16.0
200003369,-22.5
200003543,-20.5
200003849,-16.75
200003922,-23.0
200004047,inf
200004060,-2.5
200004207,-6.25
200004269,inf
200004297,-1.0
200004427,inf
200004494,inf
200004605,-23.75
200004914,inf
200004915,inf
200005102,inf
200005103,inf
200005112,16.75
200005155,-5.25
200005156,-5.5
200005183,-5.75
200005230,-7.5
200005755,-15.5
200006000,-8.25
200006081,-9.0
200006147,-8.5
200006339,-11.75
200006944,-12.0
200007006,-1.25
200007023,7.0
200007084,-10.75
200007288,-10.5
200007289,-10.5
200007394,-8.25
200007502,-13.5
200007503,-13.25
200007837,-13.25
200007858,-15.0
200007860,-13.5
200008053,-10.0
200008083,-14.75
200008086,-11.0
200008337,-7.75
200008343,-3.0
200008344,-3.25
200008378,11.25
200008449,11.25
200008490,-14.25
200008633,inf
200008666,-18.0
200008717,-19.25
200009024,-8.5
200009254,-1.75
200009284,-2.75
200009380,11.0
200009382,13.0
200009384,14.5
200009480,-15.25
200009560,-4.5
200010000,-38.5
200010007,-13.0
200010105,-16.75
200010217,-5.75
200010257,-13.0
200011224,-1.5
200011280,-24.5
200011880,-12.75
200011883,-13.25
200012185,-3.75
200012567,-16.0
200012689,-24.25
200012723,-27.5
200013012,-20.25
200013055,-8.25
200013067,-6.0
200013164,-7.75
200013166,-7.5
200013314,inf
200013318,-6.5
200013319,-9.25
200013414,-11.75
200013445,-6.0
200013504,15.75
200013540,-15.25
200013544,-11.0
200013830,inf
200014043,-7.5
200014080,-7.75
200014202,inf
200014258,7.0
200014394,-21.0
200014414,-19.0
200014511,-19.25
200014643,-13.0
200014644,-33.75
200014646,-17.5
200014647,-18.0
200014693,-26.25
200014720,-15.25
200014742,-6.5
200014914,inf
200015006,inf
200015042,-6.25
200015067,-14.25
200015079,-13.75
200015128,-1.5
200015163,-13.25
200015615,-21.5
200015739,-10.75
200015741,5.75
200018494,-7.25
200018495,-6.25
200019174,-7.75
200019348,inf
250000077,inf
250010160,-20.0
250040019,-9.0
250040059,-23.5
250040060,-23.75
250040061,-1.0
250050051,-15.5
250060035,-8.25
