ID,Minimum PET
200000327,inf
200000428,inf
200000547,inf
200000898,6.0
200000906,-10.0
200000946,8.75
200000966,-20.75
200001102,-6.75
200001119,9.25
200001516,-21.5
200001517,-5.5
200001646,-18.5
200002129,-20.75
200002172,-3.75
200002175,-16.0
200002967,-6.75
200003007,-8.0
200003061,-11.5
200003142,-13.75
200003194,-8.75
200003283,-24.25
200003317,-15.0
200003369,-20.75
200003543,-21.75
200003849,-14.25
200003922,-22.0
200004047,-19.0
200004060,-10.0
200004207,-11.75
200004269,inf
200004297,-12.75
200004427,-12.25
200004494,inf
200004605,-22.5
200004914,inf
200004915,inf
200005102,-21.0
200005103,inf
200005112,20.5
200005155,-12.0
200005156,-12.25
200005183,-10.75
200005230,-7.0
200005755,-13.0
200006000,-8.5
200006081,-8.5
200006147,-5.5
200006339,-10.0
200006944,-11.0
200007006,4.0
200007023,-14.25
200007084,-7.75
200007288,-6.25
200007289,-6.0
200007394,-35.75
200007502,-12.75
200007503,-12.5
200007837,-14.25
200007858,-19.75
200007860,-12.0
200008053,-8.0
200008083,-11.25
200008086,-9.75
200008337,-21.5
200008343,-15.5
200008344,-15.5
200008378,14.75
200008449,15.75
200008490,-13.25
200008633,inf
200008666,-16.5
200008717,-18.0
200009024,-40.0
200009254,-2.0
200009284,-36.75
200009380,-21.0
200009382,-22.75
200009384,-22.0
200009480,-14.75
200009560,-19.25
200010000,-18.5
200010007,-15.75
200010105,-16.0
200010217,-12.75
200010257,-10.0
200011224,4.0
200011280,-22.0
200011880,-15.0
200011883,-15.5
200012185,-5.75
200012567,-14.75
200012689,-22.5
200012723,-24.5
200013012,-19.75
200013055,-6.0
200013067,-2.75
200013164,-1.75
200013166,-1.75
200013314,-8.5
200013318,-5.5
200013319,-4.75
200013414,-17.5
200013445,-18.0
200013504,-13.25
200013540,-14.0
200013544,-11.5
200013830,inf
200014043,-5.5
200014080,-6.25
200014202,inf
200014258,11.75
200014394,-20.75
200014414,-18.0
200014511,-16.75
200014643,-22.25
200014644,-21.75
200014646,-17.0
200014647,-16.25
200014693,-23.5
200014720,-14.0
200014742,-7.75
200014914,inf
200015006,-7.75
200015042,-12.75
200015067,-15.75
200015079,-9.75
200015128,-13.0
200015163,-13.0
200015615,-21.0
200015739,-9.0
200015741,7.5
200018494,-5.0
200018495,-5.25
200019174,-16.25
200019348,-11.25
250000077,-6.75
250010160,-18.75
250040019,-6.25
250040059,-22.25
250040060,-22.5
250040061,-12.75
250050051,-13.0
250060035,-8.25
250060036,-8.75
250060037,-8.5
250080018,inf
250080038,-13.0
250080039,-13.25
250080040,inf
250080041,14.75
250090035,-14.75
250120051,-14.75
250130022,-8.75
250130026,-13.25
250130027,-13.5
250140035,-44.5
250140047,-16.75
250140048,-7.75
250140049,inf
250150133,-13.25
250180104,-7.5
250180133,-4.75
250190458,-16.25
250190459,inf
300000239,inf
300000262,inf
300000322,-6.5
300000385,-6.25
300000400,-5.0
300000496,inf
300000545,8.25
300000998,11.5
300001372,inf
300001806,-7.75
300002094,-8.75
300002097,-10.75
350000097,inf
350000098,-6.25
350000099,-5.0
350000100,inf
350000101,8.25
350020054,-8.75
