Wall time,Step,Value
1667674699.3092191,1740000,87.31058502197266
1667674702.8860295,1750000,85.28095245361328
1667674705.7491617,1760000,105.27953338623047
1667674708.9537468,1770000,92.48137664794922
1667674711.7089841,1780000,105.76602935791016
1667674714.861185,1790000,103.84390258789062
1667674717.585197,1800000,105.90921783447266
1667674720.3652222,1810000,87.50672912597656
1667674723.5727785,1820000,93.77896881103516
1667674726.5203564,1830000,101.307373046875
1667674729.8099341,1840000,103.20415496826172
1667674732.849135,1850000,87.818359375
1667674736.1836004,1860000,94.9327621459961
1667674739.0008478,1870000,100.00007629394531
1667674741.8033595,1880000,105.84928131103516
1667674744.9351237,1890000,101.21138000488281
1667674747.6975706,1900000,103.14451599121094
1667674750.8595026,1910000,101.81114196777344
1667674753.6050644,1920000,106.9720230102539
1667674756.7891862,1930000,105.45211791992188
1667674759.6037202,1940000,87.65524291992188
1667674762.9365606,1950000,105.44481658935547
1667674765.8840864,1960000,99.45770263671875
1667674768.6892056,1970000,89.24903106689453
1667674771.838004,1980000,85.74566650390625
1667674774.6630347,1990000,84.67449188232422
1667674777.9647064,2000000,100.48844146728516
