ID,Crossing_times
100015296,6.25
100017023,6.0
100017294,6.25
100018233,5.5
100019446,6.25
150030026,7.5
150040004,7.5
150040005,7.25
150060033,6.0
150060034,7.5
150090052,6.25
150120040,14.5
150140003,6.25
150140035,8.0
150140036,7.5
150140037,6.5
150140038,7.75
150140039,6.0
150140040,5.75
150140041,6.5
150140042,6.25
150150045,7.25
150150047,7.5
150170146,6.0
200000101,6.0
200000102,6.0
200000294,7.0
200000327,7.0
200000428,5.75
200000547,6.0
200000898,5.75
200000906,7.25
200000946,5.75
200000966,9.75
200001102,5.75
200001119,6.0
200001516,11.5
200001517,5.5
200001646,8.25
200002129,7.0
200002172,12.0
200002175,7.0
200002967,11.0
200003007,6.0
200003061,6.75
200003142,6.5
200003194,6.0
200003283,7.0
200003317,6.75
200003369,7.25
200003543,8.0
200003849,7.25
200003922,7.5
200004047,7.0
200004060,5.75
200004207,6.25
200004269,5.75
200004297,6.25
200004427,5.75
200004494,6.25
200004605,8.0
200004914,7.5
200004915,5.75
200005102,6.0
200005103,5.75
200005112,5.75
200005155,6.5
200005156,6.0
200005183,5.75
200005230,7.25
200005755,7.25
200006000,7.5
200006081,5.75
200006147,7.0
200006339,6.0
200006944,7.75
200007006,6.0
200007023,6.0
200007084,6.75
200007288,7.75
200007289,7.75
200007394,6.25
200007502,7.5
200007503,7.5
200007837,12.5
200007858,8.25
200007860,7.5
200008053,6.25
200008083,6.25
200008086,6.75
200008337,6.0
200008343,6.25
200008344,6.25
200008378,6.0
200008449,6.0
200008490,7.5
200008633,7.75
200008666,8.0
200008717,8.0
200009024,7.5
200009254,6.25
200009284,7.75
200009380,6.0
200009382,5.75
200009384,5.75
200009480,8.0
200009560,7.25
200010000,6.0
200010007,6.25
200010105,7.0
200010217,6.0
200010257,6.5
200011224,6.25
200011280,7.75
200011880,8.5
200011883,7.75
200012185,6.25
200012567,8.0
200012689,8.75
200012723,9.0
200013012,7.25
200013055,6.0
200013067,6.5
200013164,6.5
200013166,6.25
200013314,5.75
200013318,6.75
200013319,6.5
200013414,6.25
200013445,6.75
200013504,5.75
200013540,6.5
200013544,7.5
200013830,7.5
200014043,6.5
200014080,6.25
200014202,5.75
200014258,5.75
200014394,7.25
200014414,7.0
200014511,7.5
200014643,6.75
200014644,6.75
200014646,8.0
200014647,8.0
200014693,7.75
200014720,7.5
200014742,6.75
200014914,5.75
200015006,6.0
200015042,6.0
200015067,6.0
200015079,5.75
200015128,6.0
200015163,6.0
200015615,7.75
200015739,7.0
200015741,7.25
200018494,7.25
200018495,5.75
200019174,6.25
200019348,6.0
250000077,6.0
250010160,8.5
250040019,7.5
250040059,8.0
250040060,7.75
250040061,6.25
250050051,7.5
250060035,7.75
250060036,7.5
250060037,5.5
250080018,5.75
250080038,7.75
250080039,7.5
250080040,8.0
250080041,6.0
250090035,8.25
250120051,8.0
250130022,7.0
250130026,6.0
250130027,6.0
250140035,6.25
250140047,8.25
250140048,6.75
250140049,6.0
250150133,6.0
250180104,6.25
250180133,7.25
250190458,6.5
250190459,6.0
300000239,5.75
300000262,5.75
300000322,7.75
300000385,5.75
300000400,6.0
300000496,6.0
300000545,6.25
300000998,6.0
300001372,6.0
300001806,6.0
300002094,6.75
300002097,6.0
350000097,5.75
350000098,6.0
350000099,6.25
350000100,6.0
350000101,6.25
350020054,7.0
